TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-19,2026-08-19,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7548.90,7548.90,7390.00,7400.00,7400.00,7559.85,,7429.82,,,11197,83376620.00,2157,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,1374.25,1395.00,1340.00,1363.65,1348.35,1367.65,,1363.99,,,45838,62711563.00,1960,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,937.50,942.20,926.00,929.45,929.45,935.35,,928.66,,,24931,23240753.00,1104,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500009,INE432A01017,AMBALALSA,B,,,,,AMBALAL SARABHAI ENTERPRISES L,47.61,48.01,45.77,46.51,46.50,47.70,,46.35,,,42239,1979217.00,443,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,43.51,44.45,42.50,42.77,42.80,43.98,,42.77,,,152202,6517930.00,1186,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.32,3.39,3.32,3.32,3.32,3.38,,3.33,,,20049,66812.00,12,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.57,3.93,3.57,3.90,3.91,3.78,,3.90,,,9725,37519.00,53,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.57,7.57,7.12,7.25,7.25,7.28,,7.25,,,622,4486.00,20,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500020,INE032A01023,BOMDYEING,B,,,,,BOMBAY DYEING & MFG.CO.LTD.,114.30,115.05,111.10,111.95,111.95,114.95,,111.60,,,38170,4300393.00,516,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,297.00,297.85,294.00,294.00,294.00,296.90,,297.68,,,443,130594.00,25,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6627.70,6660.00,6518.85,6581.75,6581.75,6613.05,,6595.51,,,2767,18212621.00,629,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,26.63,27.28,25.70,25.82,25.95,26.74,,25.82,,,8026,209360.00,92,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,353.45,356.90,350.95,354.45,352.00,355.15,,353.57,,,7404,2617425.00,384,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,B,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,18.61,21.26,18.56,20.39,20.39,18.62,,20.38,,,6376023,130406669.00,11313,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,18245.00,18317.95,17725.00,17940.00,17940.00,18245.00,,17849.42,,,7794,139643823.00,2226,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,1091.95,1092.90,1076.50,1078.60,1078.60,1092.95,,1080.19,,,117684,127288034.00,3543,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD,652.85,667.50,648.95,650.85,650.85,652.15,,650.80,,,66781,43885735.00,2114,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,624.30,631.10,620.90,623.10,624.00,629.20,,622.81,,,10878,6804618.00,549,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1365.40,1400.70,1365.40,1395.75,1395.95,1390.40,,1395.15,,,5701,7936172.00,279,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3980.00,3983.25,3905.00,3928.85,3905.00,3980.70,,3929.87,,,3620,14284127.00,533,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,730.50,730.50,710.50,721.45,721.50,752.75,,721.31,,,38185,27351052.00,1628,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,1975.00,1985.00,1922.70,1963.05,1961.40,1964.40,,1966.71,,,20027,39065146.00,1590,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,412.90,413.25,406.45,408.70,408.70,411.90,,409.20,,,335507,137097737.00,4297,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500051,INE099C01010,BHAGGAS,XT,,,,,BHAGAWATI GAS LIMITED,11.90,11.92,10.80,10.94,11.23,11.36,,10.94,,,202335,2345590.00,326,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,121.40,122.25,118.65,119.15,118.65,122.55,,119.06,,,70793,8476938.00,717,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,12.57,13.00,11.81,12.84,12.80,12.10,,12.84,,,35696,447574.00,133,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500059,INE071A01013,BILVYAPAR,T,,,,,BIL VYAPAR LIMITED,4.02,4.02,4.02,4.02,4.02,4.09,,4.06,,,100,402.00,1,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,T,,,,,Birla Cable Limited,300.00,300.00,280.20,286.10,282.50,292.40,,285.03,,,17812,5145871.00,429,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1487.55,1500.20,1479.00,1498.00,1498.00,1494.00,,1493.24,,,14207,21165360.00,1274,F1,1,,,,,
