Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1203.00,49079.73,2822.12,1318.00,1102.19,2.69,15931.31,6.20,330.53,16.11,284.67,288.74,14.47,535.81,327.28,315.48,0.00,38.89,1511.19,37.62,4621.10,36.82,34.52,330.53,1262.03,12.12,14.39,19.48,26.96,-3.14,-2921.06,-2462.17,1101.18,945.11,13.17,62.82,1091.58,-9.24,1481.59,9794.94,8842.44,3261.14,21.12,4.97,1226.09,76687.00,74294.00,68603.00,58.55,18.70,16.53,1481.59
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,33550.00,37887.52,1033.73,41000.00,33463.09,12.40,169.75,75.00,176.95,-0.42,177.69,185.37,8.23,250.13,-62.05,191.34,0.00,85.93,1478.10,16.71,5316.99,15.71,19.00,233.07,440.89,50.01,29.98,-11.22,12.43,6.68,513.72,355.11,33462.21,273.40,222.04,35.58,937.38,23.51,817.78,1756.88,0.00,2542.38,36.24,21.38,1423.21,30673.00,29808.00,34588.00,3.50,8.16,13.33,817.78
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,770.80,3551.29,-98.81,3048.00,714.86,23.51,2.85,45.63,-39.68,-203.60,-13.07,-54.65,-289.18,,-31.73,-44.70,0.00,,,541.89,318.30,384.84,350.44,-47.56,-143.00,-3.71,-1.60,-76.91,-34.67,-3.38,-292.97,-142.78,714.29,,,46.96,1925.25,-4.21,1676.78,3542.62,583.27,2322.90,-12.96,1.00,137.16,44996.00,45869.00,46045.00,1.61,0.00,52.75,1676.78
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7479.00,159128.78,2397.26,9200.00,6565.01,5.62,144.52,75.00,370.07,8.03,342.55,341.91,-79.69,469.04,432.85,409.04,0.00,103.25,3712.31,12.13,13476.81,10.22,21.03,362.30,1541.25,29.93,22.39,-13.03,10.40,12.02,1219.52,1331.80,6555.83,516.29,22.14,50.44,5507.82,14.47,5834.87,9297.10,1.56,13764.99,67.96,16.97,3558.87,183577.00,181528.00,182397.00,7.67,9.89,7.44,7335.52
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,86.50,10553.87,1444.28,176.10,108.27,42.84,3018.10,46.60,29.02,20.62,24.06,60.50,-46.77,52.66,69.01,23.44,0.00,49.44,2248.61,10.34,8600.97,9.07,11.15,29.02,213.47,15.02,14.87,31.53,1.42,,1218.81,1144.17,108.49,352.99,0.43,28.61,53.65,,91.51,191.66,16.34,4565.34,9.17,7.48,2045.74,262354.00,266973.00,297575.00,12.70,20.80,19.42,91.51
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1445.50,16138.09,-340.56,3141.95,1464.80,26.79,5636.49,50.21,-70.92,-59.41,-44.49,-102.21,-741.74,-110.55,-75.31,-17.82,0.00,,87.69,-10.38,450.47,-55.45,29.74,-34.59,-319.61,-4.48,-2.64,-249.75,-35.46,-10.06,747.23,-1293.44,1464.99,-68.87,-9.90,60.01,1000.62,-4.55,1398.76,3589.13,1511.65,13627.49,-61.81,4.36,188.85,95594.00,96982.00,105295.00,9.26,16.63,23.14,1398.76
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,474.95,20657.53,2818.86,563.00,487.79,15.64,18743.78,64.66,282.36,19.00,237.28,310.92,-9.19,420.21,281.21,266.47,0.00,17.91,1055.67,17.67,3817.29,17.72,17.06,282.36,1153.40,11.38,15.94,21.54,28.44,-0.79,-2807.88,-3026.65,487.91,803.04,9.60,34.64,1723.38,-11.48,1214.68,7105.19,637.46,1784.06,13.06,2.74,992.89,162826.00,184772.00,202739.00,5.80,9.92,19.61,1214.68
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,414.75,3784.96,311.58,1026.95,401.17,22.41,576.64,54.43,51.68,-4.14,53.91,55.19,-9.28,65.67,40.55,45.16,2.50,19.64,732.18,12.16,2677.58,10.54,19.01,50.13,192.69,11.90,13.36,2.04,7.35,1.43,253.54,244.58,401.04,94.36,7.19,51.60,7.56,4.55,8.81,1457.59,27.31,1467.77,12.95,2.44,702.78,143476.00,144946.00,160260.00,1.52,10.29,33.76,8.81
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,520.05,18868.97,1172.00,1060.84,454.87,4.05,4966.00,41.82,153.28,256.47,43.00,137.00,13.14,160.25,133.00,106.00,3.49,36.13,2717.30,29.40,9010.00,26.99,42.51,155.00,522.28,6.85,7.13,122.25,6.42,1.49,775.00,1241.94,454.21,403.84,4.42,58.57,294.97,-1.90,609.00,5774.00,132.00,4187.00,17.32,3.17,2387.00,370868.00,384210.00,425399.00,7.00,21.11,30.08,609.00
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,829.25,7514.67,386.95,971.50,726.34,12.38,754.36,42.86,76.14,53.82,49.50,61.12,24.57,59.83,47.96,27.92,11.08,34.91,473.54,13.20,1969.04,1.20,38.74,76.14,215.27,10.70,8.59,-19.21,14.21,2.96,261.93,331.56,725.31,102.06,6.60,61.77,8.65,-3.55,9.62,2079.28,193.85,1397.29,18.29,3.54,535.80,176506.00,179373.00,187039.00,8.17,7.22,41.74,9.62
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1364.90,10801.44,1978.39,3340.00,1438.19,23.10,15685.57,48.88,171.27,23.01,139.23,181.67,-5.72,252.69,170.05,163.93,0.00,15.72,753.54,12.97,2764.62,13.32,12.93,171.27,686.92,9.92,13.92,16.97,24.17,-0.53,-1386.42,-1660.13,1438.92,557.76,31.87,41.68,1559.63,-8.78,1843.30,4971.56,270.81,2368.93,12.07,2.14,708.72,113498.00,117980.00,121862.00,16.28,22.15,12.69,1843.30
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,26120.00,55515.52,2176.08,37000.00,27563.03,20.73,171.99,74.99,428.52,17.13,365.86,394.93,8.51,500.45,375.96,415.27,0.00,34.38,1858.87,5.79,7004.38,6.29,4.33,428.52,1614.68,44.80,34.35,11.18,23.63,4.12,1319.24,1011.84,27577.53,527.86,235.51,32.12,1626.20,24.40,2254.95,4752.94,0.00,3770.69,23.65,11.63,1813.68,78320.00,75866.00,67584.00,0.38,8.77,15.85,2254.95
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1301.10,24419.73,3366.76,2844.00,1509.29,34.52,428.61,56.69,163.92,-56.33,375.38,239.29,-38.31,379.29,404.25,1119.26,0.00,12.85,6517.50,8.54,25441.73,11.55,-4.59,147.00,1899.74,11.25,10.86,-18.63,2.82,1.98,-1364.01,1711.48,1511.39,695.92,20.20,37.73,1649.27,-1.65,557.73,20362.55,54.95,11372.89,8.04,1.19,5808.00,238540.00,235988.00,219069.00,5.83,21.12,16.19,557.73
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,397.40,28094.88,2265.04,406.65,306.14,2.27,19896.29,71.40,235.33,64.83,142.77,134.46,70.15,106.30,113.70,115.06,0.00,47.18,705.93,50.92,2369.90,47.52,67.81,235.33,595.44,8.89,10.38,45.44,27.44,1.74,1248.59,1543.02,305.22,609.25,1.50,65.38,2916.03,-11.80,6158.09,4940.40,275.00,6985.74,16.31,4.76,857.50,143209.00,164635.00,197223.00,4.39,19.10,4.92,6158.09
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1164.40,13863.12,614.01,1695.00,986.85,2.64,7.90,65.42,119.49,22.28,97.72,110.91,7.74,108.97,116.41,90.06,0.00,31.73,813.81,9.35,3414.04,5.21,20.49,119.49,436.86,31.70,22.90,3.34,15.21,3.38,417.27,411.98,985.07,122.96,9.15,63.51,55.47,14.70,77.20,1987.17,1283.46,1624.29,21.47,6.90,785.68,183575.00,181542.00,171647.00,7.82,2.59,24.12,77.20
